semester,feature,raw_feature,family,underperforming_mean_shap,underperforming_mean_abs_shap,other_students_mean_shap,difference_under_minus_other,difference_ci_lower,difference_ci_upper,consistent_negative_signal
3,District_Badulla,categorical__District_Badulla,Demographic,0.0007505464841669878,0.0020207020727572747,-0.00044179324820531714,0.0011923397323723049,-0.0005020377820514969,0.0033573776674693852,False
3,District_Batticaloa,categorical__District_Batticaloa,Demographic,1.6930022504993202e-05,0.0007957110577346799,-0.0002591029531198959,0.0002760329756248891,-0.0004416527609998222,0.0012697516878744893,False
3,District_Colombo,categorical__District_Colombo,Demographic,0.0043216822488895525,0.007338705705661505,0.0010423089263113443,0.0032793733225782084,-0.0005317902685261955,0.0067360100679984825,False
3,District_Galle,categorical__District_Galle,Demographic,-0.002453164389659806,0.004982990166496479,-0.000619957304995549,-0.001833207084664257,-0.007666138717686892,0.002749810626996386,False
3,District_Gampaha,categorical__District_Gampaha,Demographic,-0.002813696359001977,0.002813696359001977,0.008740129269750107,-0.011553825628752084,-0.016311283240591178,-0.006796368016912991,True
3,District_Kalutara,categorical__District_Kalutara,Demographic,0.009145861401517645,0.01647356963285407,0.0020792581709055307,0.007066603230612115,-0.003952506891698302,0.019163669777931158,False
3,District_Kandy,categorical__District_Kandy,Demographic,0.0038133663368091156,0.0038133663368091156,-0.0006079279667376848,0.004421294303546801,0.0011053235758867004,0.0088425886070936,False
3,District_Kegalle,categorical__District_Kegalle,Demographic,-4.9059447926674436e-05,0.00029085244127956977,6.520945252365417e-05,-0.00011426890045032861,-0.0005256369420715116,0.0001828302407205258,False
3,District_Kurunegala,categorical__District_Kurunegala,Demographic,-0.0013646051602171055,0.0013646051602171055,0.0006130834777786995,-0.001977688637995805,-0.00395537727599161,-0.0004944221594989513,True
3,District_Matara,categorical__District_Matara,Demographic,-0.0012755689591591737,0.0038267068774775204,-0.0016975435675766696,0.00042197460841749595,-0.0019290267813371251,0.003677207301923894,False
3,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.00026218765553439704,0.00026218765553439704,-0.00011779445393574346,0.0003799821094701405,-5.421010862427522e-20,0.0011399463284104219,False
3,District_Puttalam,categorical__District_Puttalam,Demographic,-0.0006973156965482931,0.0006973156965482931,-0.00019201446716547214,-0.000505301229382821,-0.0015159036881484634,3.2526065174565133e-19,False
3,District_Ratnapura,categorical__District_Ratnapura,Demographic,-0.0007344071863073319,0.003872328800529569,-0.0006618373062374375,-7.256988006989443e-05,-0.0034833542433549336,0.004354192804193667,False
3,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,-0.006197553793036085,0.016866760322819727,0.0027559842954172587,-0.008953538088453344,-0.0181628915508625,-0.00034108716527441336,True
3,MediumAL_S,categorical__MediumAL_S,Demographic,-1.0558269246161683e-05,0.00041177250060030185,-2.2034648861554723e-05,1.147637961539304e-05,-0.00023870869600017505,0.00024559452376941084,False
